entIDX,NodeType,domIDX,Xe,Ye,Ze,rm,lat,lon,alt,npZe_1,npZe_2,npZe_3,vi_1,vi_2,vi_3,ri_1,ri_2,ri_3,ve_1,ve_2,ve_3
1,2,1,-606.052638921563,-7346.18102240206,0,7371.138,0,265.283835280935,993.001000000001,0.0822196842497812,0.996614230041828,-0,-0,0.384859121271095,7.34354949849272,7371.138,0,0,-0.152135891441568,0.0125510599591375,7.34354949849272
2,2,2,-485.893890835223,-7104.07528574043,1905.176337357,7371.138,15.0622643176462,266.087262946321,994.435094945856,0.0659184363167835,0.963769133848862,-0.258464342596353,-1.90325881892737,0.371745364718667,7.09332411722626,7119.97256334075,99.8460609834784,1905.176337357,0.00893472004576201,1.90168197718481,7.09332411722626
3,2,3,-332.622277066082,-6377.83855839509,3680.51805577588,7371.138,30.0987944890022,267.014568176122,998.349063807971,0.0451249558841636,0.865244763887895,-0.499314767377287,-3.67681369462876,0.333297775898924,6.35970041964317,6383.59276280082,192.88777791435,3680.51805577588,0.169396445127296,3.6612164103434,6.35970041964317
4,2,4,-156.683004799191,-5216.96267317168,5205.03855103731,7371.138,45.087754848495,268.279731380098,1003.68609852729,0.0212562842805536,0.707755393152547,-0.706137715918126,-5.19979979326312,0.272136494452287,5.19267364836328,5212.18166486185,272.784511542484,5205.03855103731,0.318314082414266,5.17124499558328,5.19267364836328
5,2,5,29.9339553138569,-3700.55940321007,6374.84427077845,7371.138,60.0083245757389,270.463457469721,1009.01217212091,-0.00406096796910557,0.502033661994942,-0.864838546066896,-6.36842812906205,0.192429560635547,3.67177474924636,3685.569,334.091431506717,6374.84427077845,0.445539141023597,6.32886178026058,3.67177474924636
6,2,6,214.510965840466,-1931.96912538326,7110.2148883943,7371.138,74.7939625336959,276.335730947325,1012.90421837555,-0.0291014719627371,0.262099166422235,-0.96460205851448,-7.10305861219049,0.0996088702663799,1.90065046886298,1907.7908984789,372.630572525962,7110.2148883943,0.542401443460414,7.05517709355173,1.90065046886298
7,2,7,384.469408541179,-31.7183443915196,7361.03611155176,7371.138,87.0173040724896,355.283835280935,1014.32735183963,-0.0521587587345643,0.00430304579720521,-0.998629534754574,-7.35362738925752,0,0,0,385.775555828701,7361.03611155176,0.60229998388617,7.30069374714874,0
9,2,9,635.98659423542,3645.62161919199,6374.84427077845,7371.138,60.0083245757389,80.1042130921489,1009.01217212091,-0.0862806522188867,-0.494580568046887,-0.864838546066896,-6.36842812906205,-0.192429560635547,-3.67177474924636,-3685.569,334.091431506717,6374.84427077845,0.597675032465165,6.31631072030144,-3.67177474924636
