entIDX,NodeType,domIDX,Xe,Ye,Ze,rm,lat,lon,alt,npZe_1,npZe_2,npZe_3,vi_1,vi_2,vi_3,ri_1,ri_2,ri_3,ve_1,ve_2,ve_3
1,2,1,-622.801186938617,-7134.81918403129,1743.60239383035,7371.138,13.7593724326161,265.011273835269,994.202218566224,0.0844918636631979,0.967939982134548,-0.236544532720775,-1.74184180247587,0.37393315389197,7.13456354037206,7161.36830674443,91.269285246834,1743.60239383035,0.0253638688514386,1.74132589766369,7.13456354037206
2,2,2,-460.020645170471,-6451.72697603478,3535.14857506244,7371.138,28.7990623188282,265.921601942072,997.93533656437,0.0624083615271442,0.875268781568705,-0.47959332399725,-3.531585384605,0.33762557751477,6.44125371497587,6465.45526067728,185.170838574824,3535.14857506244,0.21739328546747,3.51390931093144,6.44125371497587
3,2,3,-265.890456654017,-5328.96023660445,5085.78022301328,7371.138,43.7928972512587,267.143574563278,1003.20302404177,0.0360718326877094,0.722949459989007,-0.689958622808755,-5.08065725899409,0.278309375982586,5.30898309357914,5328.93212326497,266.453305263219,5085.78022301328,0.394607708938283,5.04702561166891,5.30898309357914
4,2,4,-53.6402729213468,-3843.0336635727,6289.82435341496,7371.138,58.7205466299198,269.200329229827,1008.58921745102,0.00727706806212919,0.521362327441529,-0.853304381686377,-6.28349073736584,0.200026850405179,3.81491404786438,3829.25106812888,329.577419532832,6289.82435341496,0.544930269165025,6.23619545757532,3.81491404786438
5,2,5,162.26540676617,-2095.21069728188,7065.22734855762,7371.138,73.5259236422732,274.428481568181,1012.65410107647,-0.0220136167259615,0.284245213870895,-0.958498857104239,-7.05811470594552,0.108112825532659,2.06086491423121,2068.6128808364,370.241377313721,7065.22734855762,0.65811673208802,7.00037888884825,2.06086491423121
6,2,6,367.112967138837,-204.602584470691,7359.14677573633,7371.138,86.7502526920821,330.86782240947,1014.31645050047,-0.0498041099133996,0.0277572587123848,-0.998373219404701,-7.35173982140106,0.0088310902649791,0.166371242433481,167.002144259332,385.673997083485,7359.14677573633,0.726453627308538,7.28749806751926,0.166371242433481
7,2,7,546.942385483854,1699.94885635042,7151.55251171367,7371.138,76.0575915170278,72.16491423917,1013.13542142707,-0.0742005353154227,-0.230622307756335,-0.970210096692488,-7.14435601735262,-0.0910524692101919,-1.73946035459461,-1745.98951246491,374.823571308425,7151.55251171367,0.745283908349361,7.07798629604882,-1.73946035459461
9,2,9,785.066593704788,5039.60848674941,5321.62495472727,7371.138,46.3821126646743,81.1456701109704,1004.16908304353,-0.106505480389159,-0.683694768263654,-0.721954324383464,-5.31627290346965,-0.265820328359312,-5.07369862614085,-5092.75542590804,278.972092066887,5321.62495472727,0.632752863236581,5.25905299118455,-5.07369862614085
