entIDX,NodeType,domIDX,Xe,Ye,Ze,rm,lat,lon,alt,npZe_1,npZe_2,npZe_3,vi_1,vi_2,vi_3,ri_1,ri_2,ri_3,ve_1,ve_2,ve_3
1,2,1,-613.355284603992,-6875.98718237781,2584.23508560432,7371.138,20.6327994664033,264.902564587765,995.638973337205,0.0832103922900361,0.932825729538344,-0.350588346820304,-2.58162587796927,0.36042157699402,6.87612826327977,6901.96383199991,135.276380572071,2584.23508560432,0.136616729210331,2.5721015541714,6.87612826327977
2,2,2,-426.930347037394,-5986.00318677187,4280.0901558004,7371.138,35.6540151911243,265.92049047824,1000.2308033396,0.0579191906375099,0.812086707204759,-0.580655274097487,-4.27577518574788,0.313211579421937,5.97456951147921,5997.02010317653,224.173047802393,4280.0901558004,0.338146239026799,4.24779781545067,5.97456951147921
3,2,3,-211.410811855954,-4688.08296632542,5684.2641550621,7371.138,50.6204933073658,267.417975231411,1005.73916593556,0.0286808918590256,0.636005317811906,-0.771151504023137,-5.67853748067037,0.244656730318857,4.6658537209143,4683.38936486598,297.79269228846,5684.2641550621,0.516631641466673,5.63401367542477,4.6658537209143
4,2,4,18.5160207805832,-3070.6776391473,6701.06494584698,7371.138,65.5061548745217,270.345486277291,1010.68706645651,-0.00251196230223653,0.416581217058655,-0.909095033337726,-6.69431683051205,0.159428929358911,3.03916770995693,3050.59338100667,351.11825692076,6701.06494584698,0.659909451314748,6.6362808140665,3.03916770995693
5,2,5,247.181017200095,-1244.01070539603,7261.19923460581,7371.138,80.148107984805,281.238121635036,1013.75507118914,-0.0335336303838152,0.168767794795868,-0.985085238480925,-7.25388955123598,0.0633363103319178,1.2053674420281,1209.90449957569,380.515692594266,7261.19923460581,0.758215522607654,7.18629638220217,1.2053674420281
6,2,6,459.001035783365,667.433502103092,7326.49479522535,7371.138,83.7270654687117,55.4832875303623,1014.12848570118,-0.0622700369716813,-0.090546873780289,-0.993943512551977,-7.31912168666245,-0.0370725735759938,-0.710576625111064,-713.237374039651,383.981612649386,7326.49479522535,0.804850459045245,7.24657772780705,-0.710576625111064
7,2,7,639.540892313075,2533.3932194199,6892.50184315541,7371.138,69.3486909296326,75.832018017865,1011.70833026297,-0.0867628434460289,-0.343690922544104,-0.935066178811929,-6.88556777456335,-0.134955022860026,-2.5780960695323,-2587.77329929468,361.279820362069,6892.50184315541,0.796636166777173,6.8130167767978,-2.5780960695323
9,2,9,860.536301804087,5631.97647698178,4676.96414900149,7371.138,39.5458474994829,81.3126965164844,1001.6314044563,-0.116744022673851,-0.764057934742476,-0.634496891660621,-4.67226367326671,-0.297085266662102,-5.67076082125167,-5692.05933242422,245.239312022194,4676.96414900149,0.621598793397324,4.61419482803076,-5.67076082125167
