entIDX,NodeType,domIDX,Xe,Ye,Ze,rm,lat,lon,alt,npZe_1,npZe_2,npZe_3,vi_1,vi_2,vi_3,ri_1,ri_2,ri_3,ve_1,ve_2,ve_3
1,2,1,-619.75401170064,-7292.36396571317,878.070709904966,7371.138,6.88095850968397,265.142293157607,993.305692295939,0.0840784708820592,0.989313178740267,-0.119122815215909,-0.877184041710923,0.382117866852303,7.29111581809247,7318.50768506784,45.9620175134852,878.070709904966,-0.0714641807825455,0.883993926446076,7.29111581809247
2,2,2,-479.217435656228,-6826.26812237578,2739.72436311453,7371.138,21.9344854344543,265.984311905657,995.965781177941,0.0650126799493142,0.926080629934724,-0.371682684968661,-2.73696417065794,0.357229930138664,6.81595552256513,6841.56303367122,143.530782427416,2739.72436311453,0.106862697784026,2.72808342731724,6.81595552256513
3,2,3,-306.022983316101,-5894.97338743993,4414.67032858641,7371.138,36.9517181570256,267.02829869663,1000.69192346987,0.041516382316557,0.799737216619732,-0.598912993975477,-4.41022471442177,0.307997364036448,5.87629912207405,5898.37716774738,231.318161714751,4414.67032858641,0.277907060095574,4.38625855098775,5.87629912207405
4,2,4,-111.973570389874,-4561.94595805419,5788.7638067528,7371.138,51.9125311100521,268.593949789443,1006.21062584242,0.0151908118379922,0.618893033620344,-0.785328372193384,-5.7829357321387,0.237775286564858,4.53618264745708,4553.22664537072,303.341590552563,5788.7638067528,0.430012515524741,5.74551740304344,4.53618264745708
5,2,5,89.7066563133492,-2918.02945059921,6768.36259787349,7371.138,66.7885010618072,271.760843960661,1011.04284805771,-0.0121699873633283,0.395872313148825,-0.91822491966281,-6.76154923646353,0.151349216256113,2.88693282181218,2897.78125167484,354.692791289898,6768.36259787349,0.552813328650178,6.71322873899816,2.88693282181218
6,2,6,285.273522636077,-1075.25405835756,7286.70866319715,7371.138,81.3691491864849,284.858715891518,1013.90056387957,-0.038701422037693,0.145873548746144,-0.988545956295643,-7.27937433431181,0.0546089469759196,1.04094329524284,1044.85685448726,381.872264458379,7286.70866319715,0.637940826995325,7.22344463052519,1.04094329524284
7,2,7,461.399469827942,840.798121019813,7308.47757497935,7371.138,82.566616494209,61.2436192921166,1014.02511961728,-0.0625954187573129,-0.114066256936149,-0.991499219656361,-7.30112210101161,-0.045852831795131,-0.875984796657171,-879.272810626025,383.027773877776,7308.47757497935,0.679593712227805,7.2413947077886,-0.875984796657171
9,2,9,709.460668013989,4374.33451511397,5890.29188796852,7371.138,53.2039741329352,80.7875807501282,1006.67682055324,-0.0962484582453875,-0.593440865591442,-0.799102104446901,-5.88436519475261,-0.23076865059619,-4.40418299628029,-4420.726433393,308.730773776413,5890.29188796852,0.624277509432723,5.82923481255208,-4.40418299628029
