entIDX,NodeType,domIDX,Xe,Ye,Ze,rm,lat,lon,alt,npZe_1,npZe_2,npZe_3,vi_1,vi_2,vi_3,ri_1,ri_2,ri_3,ve_1,ve_2,ve_3
1,2,1,-603.435162393859,-6709.75426920582,2991.44431114889,7371.138,24.066929106941,264.860985568476,996.535214448958,0.0818645862272364,0.910273863982171,-0.405832086056303,-2.98842411641083,0.351725467479306,6.70980225312333,6735.01404614869,156.595486904544,2991.44431114889,0.196995695227877,2.97374908963108,6.70980225312333
2,2,2,-404.828654716673,-5721.04528157143,4630.27321673069,7371.138,39.0773194706222,265.952422254218,1001.46022686383,0.0549207808504837,0.776141388422172,-0.628162600772186,-4.62560497380501,0.299307099775578,5.70876778879405,5730.22114979523,242.509644983223,4630.27321673069,0.401518607925269,4.59192456310746,5.70876778879405
3,2,3,-178.63374323153,-4342.45651247231,5953.55665448058,7371.138,54.0284685789662,267.644376602569,1006.97137430614,0.0242342150196523,0.589116159875491,-0.807684872333224,-5.94755849640804,0.226491447850514,4.3186902338433,4334.92315172142,311.897171522432,5953.55665448058,0.578678691033426,5.8971679661222,4.3186902338433
4,2,4,59.7347626486243,-2667.93650829689,6871.11504494518,7371.138,68.8866666857522,271.282630990601,1011.59283036564,-0.00810387251583463,0.361943638593781,-0.932164754607114,-6.86419573628599,0.138240778049253,2.63430107642918,2644.20730465702,360.029421256834,6871.11504494518,0.716402777659409,6.80052911777656,2.63430107642918
5,2,5,294.032443170637,-811.601040054574,7320.41830015126,7371.138,83.3132659738542,289.914789424009,1014.09359642877,-0.0398896945316499,0.110105256482049,-0.993119149329623,-7.31304938035584,0.0405692276776218,0.770388654044776,773.293099539422,383.626260909333,7320.41830015126,0.80530519889947,7.24044544846019,0.770388654044776
6,2,6,508.292298602158,1100.04369783332,7270.84714576527,7371.138,80.59144479411,65.1999677849417,1013.81003888378,-0.0689570997859704,-0.149236616901396,-0.986394115232311,-7.26353079453997,-0.0598670485164202,-1.14602448198533,-1150.31975238452,381.079604853232,7270.84714576527,0.839327401664297,7.1869373872331,-1.14602448198533
7,2,7,687.912873876681,2936.72227562204,6725.7797740384,7371.138,65.9696475843933,76.8164433525219,1010.81731858518,-0.0933251926468724,-0.39840826146818,-0.912447952275266,-6.71901458862839,-0.156223484289044,-2.98433794346314,-2995.54021417672,352.563003490206,6725.7797740384,0.816150829059816,6.64365142004167,-2.98433794346314
9,2,10,913.120953318831,6821.08897940475,2640.57392903458,7371.138,21.1031571436583,82.3752975378,995.755185964163,-0.123877880636454,-0.925378005323568,-0.358231514460126,-2.63792582073496,-0.359174148291999,-6.85479227077939,-6880.54090217975,138.569959870009,2640.57392903458,0.437808793739028,2.59501282412565,-6.85479227077939
